"Variable.Name","Variable.Description","Data.File.Name","Data.File.Description","Begin.Year","EndYear","Component","Use.Constraints","SourceTable"
"DMDHHSZB","Number of children aged 6-17 years old in the household","DEMO_H","Demographic Variables and Sample Weights",2013,2014,"Demographics","None","DEMO_H"
"DMDHHSZE","Number of adults aged 60 years or older in the household","DEMO_H","Demographic Variables and Sample Weights",2013,2014,"Demographics","None","DEMO_H"
"DMDHRAGE","HH reference person's age in years","DEMO_H","Demographic Variables and Sample Weights",2013,2014,"Demographics","None","DEMO_H"
"DMDHRBR4","HH reference person's country of birth","DEMO_H","Demographic Variables and Sample Weights",2013,2014,"Demographics","None","DEMO_H"
"DMDHREDU","HH reference person's education level","DEMO_H","Demographic Variables and Sample Weights",2013,2014,"Demographics","None","DEMO_H"
"DMDHRGND","HH reference person's gender","DEMO_H","Demographic Variables and Sample Weights",2013,2014,"Demographics","None","DEMO_H"
"DMDHRMAR","HH reference person's marital status","DEMO_H","Demographic Variables and Sample Weights",2013,2014,"Demographics","None","DEMO_H"
"DMDHSEDU","HH reference person's spouse's education level","DEMO_H","Demographic Variables and Sample Weights",2013,2014,"Demographics","None","DEMO_H"
"DMDMARTL","Marital status","DEMO_H","Demographic Variables and Sample Weights",2013,2014,"Demographics","None","DEMO_H"
"DMDYRSUS","Length of time the participant has been in the US.","DEMO_H","Demographic Variables and Sample Weights",2013,2014,"Demographics","None","DEMO_H"
"DMQADFC","Did {you/SP} ever serve in a foreign country during a time of armed conflict or on a humanitarian or peace-keeping mission? (Thi","DEMO_H","Demographic Variables and Sample Weights",2013,2014,"Demographics","None","DEMO_H"
"DMQMILIZ","{Have you/Has SP} ever served on active duty in the U.S. Armed Forces, military Reserves, or National Guard? (Active duty does n","DEMO_H","Demographic Variables and Sample Weights",2013,2014,"Demographics","None","DEMO_H"
"FIAINTRP","Was an interpreter used to conduct the Family interview?","DEMO_H","Demographic Variables and Sample Weights",2013,2014,"Demographics","None","DEMO_H"
"FIALANG","Language of the Family Interview Instrument","DEMO_H","Demographic Variables and Sample Weights",2013,2014,"Demographics","None","DEMO_H"
"FIAPROXY","Was a Proxy respondent used in conducting the Family Interview?","DEMO_H","Demographic Variables and Sample Weights",2013,2014,"Demographics","None","DEMO_H"
"INDFMIN2","Total family income (reported as a range value in dollars)","DEMO_H","Demographic Variables and Sample Weights",2013,2014,"Demographics","None","DEMO_H"
"INDFMPIR","A ratio of family income to poverty guidelines.","DEMO_H","Demographic Variables and Sample Weights",2013,2014,"Demographics","None","DEMO_H"
"INDHHIN2","Total household income (reported as a range value in dollars)","DEMO_H","Demographic Variables and Sample Weights",2013,2014,"Demographics","None","DEMO_H"
"MIAINTRP","Was an interpreter used to conduct the MEC CAPI interview?","DEMO_H","Demographic Variables and Sample Weights",2013,2014,"Demographics","None","DEMO_H"
"MIALANG","Language of the MEC CAPI Interview Instrument","DEMO_H","Demographic Variables and Sample Weights",2013,2014,"Demographics","None","DEMO_H"
"MIAPROXY","Was a Proxy respondent used in conducting the MEC CAPI Interview?","DEMO_H","Demographic Variables and Sample Weights",2013,2014,"Demographics","None","DEMO_H"
"RIAGENDR","Gender of the participant.","DEMO_H","Demographic Variables and Sample Weights",2013,2014,"Demographics","None","DEMO_H"
"RIDAGEMN","Age in months of the participant at the time of screening. Reported for persons aged 24 months or younger at the time of exam (o","DEMO_H","Demographic Variables and Sample Weights",2013,2014,"Demographics","None","DEMO_H"
"RIDAGEYR","Age in years of the participant at the time of screening. Individuals 80 and over are topcoded at 80 years of age.","DEMO_H","Demographic Variables and Sample Weights",2013,2014,"Demographics","None","DEMO_H"
"RIDEXAGM","Age in months of the participant at the time of examination. Reported for persons aged 19 years or younger at the time of examin","DEMO_H","Demographic Variables and Sample Weights",2013,2014,"Demographics","None","DEMO_H"
"RIDEXMON","Six month time period when the examination was performed - two categories: November 1 through April 30, May 1 through October 31","DEMO_H","Demographic Variables and Sample Weights",2013,2014,"Demographics","None","DEMO_H"
"RIDEXPRG","Pregnancy status for females between 20 and 44 years of age at the time of MEC exam.","DEMO_H","Demographic Variables and Sample Weights",2013,2014,"Demographics","None","DEMO_H"
"RIDRETH1","Recode of reported race and Hispanic origin information","DEMO_H","Demographic Variables and Sample Weights",2013,2014,"Demographics","None","DEMO_H"
"RIDRETH3","Recode of reported race and Hispanic origin information, with Non-Hispanic Asian Category","DEMO_H","Demographic Variables and Sample Weights",2013,2014,"Demographics","None","DEMO_H"
"RIDSTATR","Interview and examination status of the participant.","DEMO_H","Demographic Variables and Sample Weights",2013,2014,"Demographics","None","DEMO_H"
"SDDSRVYR","Data release cycle","DEMO_H","Demographic Variables and Sample Weights",2013,2014,"Demographics","None","DEMO_H"
"SDMVPSU","Masked variance unit pseudo-PSU variable for variance estimation","DEMO_H","Demographic Variables and Sample Weights",2013,2014,"Demographics","None","DEMO_H"
"SDMVSTRA","Masked variance unit pseudo-stratum variable for variance estimation","DEMO_H","Demographic Variables and Sample Weights",2013,2014,"Demographics","None","DEMO_H"
"SEQN","Respondent sequence number.","DEMO_H","Demographic Variables and Sample Weights",2013,2014,"Demographics","None","DEMO_H"
"SIAINTRP","Was an interpreter used to conduct the Sample Person (SP) interview?","DEMO_H","Demographic Variables and Sample Weights",2013,2014,"Demographics","None","DEMO_H"
"SIALANG","Language of the Sample Person Interview Instrument","DEMO_H","Demographic Variables and Sample Weights",2013,2014,"Demographics","None","DEMO_H"
"SIAPROXY","Was a Proxy respondent used in conducting the Sample Person (SP) interview?","DEMO_H","Demographic Variables and Sample Weights",2013,2014,"Demographics","None","DEMO_H"
"WTINT2YR","Full sample 2 year interview weight.","DEMO_H","Demographic Variables and Sample Weights",2013,2014,"Demographics","None","DEMO_H"
"WTMEC2YR","Full sample 2 year MEC exam weight.","DEMO_H","Demographic Variables and Sample Weights",2013,2014,"Demographics","None","DEMO_H"
"AIALANGA","Language of the MEC ACASI Interview Instrument","DEMO_I","Demographic Variables and Sample Weights",2015,2016,"Demographics","None","DEMO_I"
"DMDBORN4","In what country {were you/was SP} born?","DEMO_I","Demographic Variables and Sample Weights",2015,2016,"Demographics","None","DEMO_I"
"DMDCITZN","{Are you/Is SP} a citizen of the United States? [Information about citizenship is being collected by the U.S. Public Health Serv","DEMO_I","Demographic Variables and Sample Weights",2015,2016,"Demographics","None","DEMO_I"
"DMDEDUC2","What is the highest grade or level of school {you have/SP has} completed or the highest degree {you have/s/he has} received?","DEMO_I","Demographic Variables and Sample Weights",2015,2016,"Demographics","None","DEMO_I"
"DMDEDUC3","What is the highest grade or level of school {you have/SP has} completed or the highest degree {you have/s/he has} received?","DEMO_I","Demographic Variables and Sample Weights",2015,2016,"Demographics","None","DEMO_I"
"DMDFMSIZ","Total number of people in the Family","DEMO_I","Demographic Variables and Sample Weights",2015,2016,"Demographics","None","DEMO_I"
"DMDHHSIZ","Total number of people in the Household","DEMO_I","Demographic Variables and Sample Weights",2015,2016,"Demographics","None","DEMO_I"
"DMDHHSZA","Number of children aged 5 years or younger in the household","DEMO_I","Demographic Variables and Sample Weights",2015,2016,"Demographics","None","DEMO_I"
"DMDHHSZB","Number of children aged 6-17 years old in the household","DEMO_I","Demographic Variables and Sample Weights",2015,2016,"Demographics","None","DEMO_I"
"DMDHHSZE","Number of adults aged 60 years or older in the household","DEMO_I","Demographic Variables and Sample Weights",2015,2016,"Demographics","None","DEMO_I"
"DMDHRAGE","HH reference person's age in years","DEMO_I","Demographic Variables and Sample Weights",2015,2016,"Demographics","None","DEMO_I"
"DMDHRBR4","HH reference person's country of birth","DEMO_I","Demographic Variables and Sample Weights",2015,2016,"Demographics","None","DEMO_I"
"DMDHREDU","HH reference person's education level","DEMO_I","Demographic Variables and Sample Weights",2015,2016,"Demographics","None","DEMO_I"
"DMDHRGND","HH reference person's gender","DEMO_I","Demographic Variables and Sample Weights",2015,2016,"Demographics","None","DEMO_I"
"DMDHRMAR","HH reference person's marital status","DEMO_I","Demographic Variables and Sample Weights",2015,2016,"Demographics","None","DEMO_I"
"DMDHSEDU","HH reference person's spouse's education level","DEMO_I","Demographic Variables and Sample Weights",2015,2016,"Demographics","None","DEMO_I"
"DMDMARTL","Marital status","DEMO_I","Demographic Variables and Sample Weights",2015,2016,"Demographics","None","DEMO_I"
"DMDYRSUS","Length of time the participant has been in the US.","DEMO_I","Demographic Variables and Sample Weights",2015,2016,"Demographics","None","DEMO_I"
"DMQADFC","Did {you/SP} ever serve in a foreign country during a time of armed conflict or on a humanitarian or peace-keeping mission? (Thi","DEMO_I","Demographic Variables and Sample Weights",2015,2016,"Demographics","None","DEMO_I"
"DMQMILIZ","{Have you/Has SP} ever served on active duty in the U.S. Armed Forces, military Reserves, or National Guard? (Active duty does n","DEMO_I","Demographic Variables and Sample Weights",2015,2016,"Demographics","None","DEMO_I"
"FIAINTRP","Was an interpreter used to conduct the Family interview?","DEMO_I","Demographic Variables and Sample Weights",2015,2016,"Demographics","None","DEMO_I"
"FIALANG","Language of the Family Interview Instrument","DEMO_I","Demographic Variables and Sample Weights",2015,2016,"Demographics","None","DEMO_I"
"FIAPROXY","Was a Proxy respondent used in conducting the Family Interview?","DEMO_I","Demographic Variables and Sample Weights",2015,2016,"Demographics","None","DEMO_I"
"INDFMIN2","Total family income (reported as a range value in dollars)","DEMO_I","Demographic Variables and Sample Weights",2015,2016,"Demographics","None","DEMO_I"
"INDFMPIR","A ratio of family income to poverty guidelines.","DEMO_I","Demographic Variables and Sample Weights",2015,2016,"Demographics","None","DEMO_I"
"INDHHIN2","Total household income (reported as a range value in dollars)","DEMO_I","Demographic Variables and Sample Weights",2015,2016,"Demographics","None","DEMO_I"
"MIAINTRP","Was an interpreter used to conduct the MEC CAPI interview?","DEMO_I","Demographic Variables and Sample Weights",2015,2016,"Demographics","None","DEMO_I"
"MIALANG","Language of the MEC CAPI Interview Instrument","DEMO_I","Demographic Variables and Sample Weights",2015,2016,"Demographics","None","DEMO_I"
"MIAPROXY","Was a Proxy respondent used in conducting the MEC CAPI Interview?","DEMO_I","Demographic Variables and Sample Weights",2015,2016,"Demographics","None","DEMO_I"
"RIAGENDR","Gender of the participant.","DEMO_I","Demographic Variables and Sample Weights",2015,2016,"Demographics","None","DEMO_I"
"RIDAGEMN","Age in months of the participant at the time of screening. Reported for persons aged 24 months or younger at the time of exam (o","DEMO_I","Demographic Variables and Sample Weights",2015,2016,"Demographics","None","DEMO_I"
"RIDAGEYR","Age in years of the participant at the time of screening. Individuals 80 and over are topcoded at 80 years of age.","DEMO_I","Demographic Variables and Sample Weights",2015,2016,"Demographics","None","DEMO_I"
"RIDEXAGM","Age in months of the participant at the time of examination. Reported for persons aged 19 years or younger at the time of examin","DEMO_I","Demographic Variables and Sample Weights",2015,2016,"Demographics","None","DEMO_I"
"RIDEXMON","Six month time period when the examination was performed - two categories: November 1 through April 30, May 1 through October 31","DEMO_I","Demographic Variables and Sample Weights",2015,2016,"Demographics","None","DEMO_I"
"RIDEXPRG","Pregnancy status for females between 20 and 44 years of age at the time of MEC exam.","DEMO_I","Demographic Variables and Sample Weights",2015,2016,"Demographics","None","DEMO_I"
"RIDRETH1","Recode of reported race and Hispanic origin information","DEMO_I","Demographic Variables and Sample Weights",2015,2016,"Demographics","None","DEMO_I"
"RIDRETH3","Recode of reported race and Hispanic origin information, with Non-Hispanic Asian Category","DEMO_I","Demographic Variables and Sample Weights",2015,2016,"Demographics","None","DEMO_I"
"RIDSTATR","Interview and examination status of the participant.","DEMO_I","Demographic Variables and Sample Weights",2015,2016,"Demographics","None","DEMO_I"
"SDDSRVYR","Data release cycle","DEMO_I","Demographic Variables and Sample Weights",2015,2016,"Demographics","None","DEMO_I"
"SDMVPSU","Masked variance unit pseudo-PSU variable for variance estimation","DEMO_I","Demographic Variables and Sample Weights",2015,2016,"Demographics","None","DEMO_I"
"SDMVSTRA","Masked variance unit pseudo-stratum variable for variance estimation","DEMO_I","Demographic Variables and Sample Weights",2015,2016,"Demographics","None","DEMO_I"
"SEQN","Respondent sequence number.","DEMO_I","Demographic Variables and Sample Weights",2015,2016,"Demographics","None","DEMO_I"
"SIAINTRP","Was an interpreter used to conduct the Sample Person (SP) interview?","DEMO_I","Demographic Variables and Sample Weights",2015,2016,"Demographics","None","DEMO_I"
"SIALANG","Language of the Sample Person Interview Instrument","DEMO_I","Demographic Variables and Sample Weights",2015,2016,"Demographics","None","DEMO_I"
"SIAPROXY","Was a Proxy respondent used in conducting the Sample Person (SP) interview?","DEMO_I","Demographic Variables and Sample Weights",2015,2016,"Demographics","None","DEMO_I"
"WTINT2YR","Full sample 2 year interview weight.","DEMO_I","Demographic Variables and Sample Weights",2015,2016,"Demographics","None","DEMO_I"
"WTMEC2YR","Full sample 2 year MEC exam weight.","DEMO_I","Demographic Variables and Sample Weights",2015,2016,"Demographics","None","DEMO_I"
"AIALANGA","Language of the MEC ACASI Interview Instrument","DEMO_J","Demographic Variables and Sample Weights",2017,2018,"Demographics","None","DEMO_J"
"DMDBORN4","In what country {were you/was SP} born?","DEMO_J","Demographic Variables and Sample Weights",2017,2018,"Demographics","None","DEMO_J"
"DMDCITZN","{Are you/Is SP} a citizen of the United States? [Information about citizenship is being collected by the U.S. Public Health Serv","DEMO_J","Demographic Variables and Sample Weights",2017,2018,"Demographics","None","DEMO_J"
"DMDEDUC2","What is the highest grade or level of school {you have/SP has} completed or the highest degree {you have/s/he has} received?","DEMO_J","Demographic Variables and Sample Weights",2017,2018,"Demographics","None","DEMO_J"
"DMDEDUC3","What is the highest grade or level of school {you have/SP has} completed or the highest degree {you have/s/he has} received?","DEMO_J","Demographic Variables and Sample Weights",2017,2018,"Demographics","None","DEMO_J"
"DMDFMSIZ","Total number of people in the Family","DEMO_J","Demographic Variables and Sample Weights",2017,2018,"Demographics","None","DEMO_J"
"DMDHHSIZ","Total number of people in the Household","DEMO_J","Demographic Variables and Sample Weights",2017,2018,"Demographics","None","DEMO_J"
"DMDHHSZA","Number of children aged 5 years or younger in the household","DEMO_J","Demographic Variables and Sample Weights",2017,2018,"Demographics","None","DEMO_J"
"DMDHHSZB","Number of children aged 6-17 years old in the household","DEMO_J","Demographic Variables and Sample Weights",2017,2018,"Demographics","None","DEMO_J"
"DMDHHSZE","Number of adults aged 60 years or older in the household","DEMO_J","Demographic Variables and Sample Weights",2017,2018,"Demographics","None","DEMO_J"
"DMDHRAGZ","HH reference person's age in years","DEMO_J","Demographic Variables and Sample Weights",2017,2018,"Demographics","None","DEMO_J"
"DMDHREDZ","HH reference person's education level","DEMO_J","Demographic Variables and Sample Weights",2017,2018,"Demographics","None","DEMO_J"
"DMDHRGND","HH reference person's gender","DEMO_J","Demographic Variables and Sample Weights",2017,2018,"Demographics","None","DEMO_J"
"DMDHRMAZ","HH reference person's marital status","DEMO_J","Demographic Variables and Sample Weights",2017,2018,"Demographics","None","DEMO_J"
"DMDHSEDZ","HH reference person's spouse's education level","DEMO_J","Demographic Variables and Sample Weights",2017,2018,"Demographics","None","DEMO_J"
"DMDMARTL","Marital status","DEMO_J","Demographic Variables and Sample Weights",2017,2018,"Demographics","None","DEMO_J"
"DMDYRSUS","Length of time the participant has been in the US.","DEMO_J","Demographic Variables and Sample Weights",2017,2018,"Demographics","None","DEMO_J"
"DMQADFC","Did {you/SP} ever serve in a foreign country during a time of armed conflict or on a humanitarian or peace-keeping mission? (Thi","DEMO_J","Demographic Variables and Sample Weights",2017,2018,"Demographics","None","DEMO_J"
"DMQMILIZ","{Have you/Has SP} ever served on active duty in the U.S. Armed Forces, military Reserves, or National Guard? (Active duty does n","DEMO_J","Demographic Variables and Sample Weights",2017,2018,"Demographics","None","DEMO_J"
"FIAINTRP","Was an interpreter used to conduct the Family interview?","DEMO_J","Demographic Variables and Sample Weights",2017,2018,"Demographics","None","DEMO_J"
"FIALANG","Language of the Family Interview Instrument","DEMO_J","Demographic Variables and Sample Weights",2017,2018,"Demographics","None","DEMO_J"
"FIAPROXY","Was a Proxy respondent used in conducting the Family Interview?","DEMO_J","Demographic Variables and Sample Weights",2017,2018,"Demographics","None","DEMO_J"
"INDFMIN2","Total family income (reported as a range value in dollars)","DEMO_J","Demographic Variables and Sample Weights",2017,2018,"Demographics","None","DEMO_J"
"INDFMPIR","A ratio of family income to poverty guidelines.","DEMO_J","Demographic Variables and Sample Weights",2017,2018,"Demographics","None","DEMO_J"
"INDHHIN2","Total household income (reported as a range value in dollars)","DEMO_J","Demographic Variables and Sample Weights",2017,2018,"Demographics","None","DEMO_J"
"MIAINTRP","Was an interpreter used to conduct the MEC CAPI interview?","DEMO_J","Demographic Variables and Sample Weights",2017,2018,"Demographics","None","DEMO_J"
"MIALANG","Language of the MEC CAPI Interview Instrument","DEMO_J","Demographic Variables and Sample Weights",2017,2018,"Demographics","None","DEMO_J"
"MIAPROXY","Was a Proxy respondent used in conducting the MEC CAPI Interview?","DEMO_J","Demographic Variables and Sample Weights",2017,2018,"Demographics","None","DEMO_J"
"RIAGENDR","Gender of the participant.","DEMO_J","Demographic Variables and Sample Weights",2017,2018,"Demographics","None","DEMO_J"
"RIDAGEMN","Age in months of the participant at the time of screening. Reported for persons aged 24 months or younger at the time of exam (o","DEMO_J","Demographic Variables and Sample Weights",2017,2018,"Demographics","None","DEMO_J"
"RIDAGEYR","Age in years of the participant at the time of screening. Individuals 80 and over are topcoded at 80 years of age.","DEMO_J","Demographic Variables and Sample Weights",2017,2018,"Demographics","None","DEMO_J"
"RIDEXAGM","Age in months of the participant at the time of examination. Reported for persons aged 19 years or younger at the time of examin","DEMO_J","Demographic Variables and Sample Weights",2017,2018,"Demographics","None","DEMO_J"
"RIDEXMON","Six month time period when the examination was performed - two categories: November 1 through April 30, May 1 through October 31","DEMO_J","Demographic Variables and Sample Weights",2017,2018,"Demographics","None","DEMO_J"
"RIDEXPRG","Pregnancy status for females between 20 and 44 years of age at the time of MEC exam.","DEMO_J","Demographic Variables and Sample Weights",2017,2018,"Demographics","None","DEMO_J"
"RIDRETH1","Recode of reported race and Hispanic origin information","DEMO_J","Demographic Variables and Sample Weights",2017,2018,"Demographics","None","DEMO_J"
"RIDRETH3","Recode of reported race and Hispanic origin information, with Non-Hispanic Asian Category","DEMO_J","Demographic Variables and Sample Weights",2017,2018,"Demographics","None","DEMO_J"
"RIDSTATR","Interview and examination status of the participant.","DEMO_J","Demographic Variables and Sample Weights",2017,2018,"Demographics","None","DEMO_J"
"SDDSRVYR","Data release cycle","DEMO_J","Demographic Variables and Sample Weights",2017,2018,"Demographics","None","DEMO_J"
"SDMVPSU","Masked variance unit pseudo-PSU variable for variance estimation","DEMO_J","Demographic Variables and Sample Weights",2017,2018,"Demographics","None","DEMO_J"
"SDMVSTRA","Masked variance unit pseudo-stratum variable for variance estimation","DEMO_J","Demographic Variables and Sample Weights",2017,2018,"Demographics","None","DEMO_J"
"SEQN","Respondent sequence number.","DEMO_J","Demographic Variables and Sample Weights",2017,2018,"Demographics","None","DEMO_J"
"SIAINTRP","Was an interpreter used to conduct the Sample Person (SP) interview?","DEMO_J","Demographic Variables and Sample Weights",2017,2018,"Demographics","None","DEMO_J"
"SIALANG","Language of the Sample Person Interview Instrument","DEMO_J","Demographic Variables and Sample Weights",2017,2018,"Demographics","None","DEMO_J"
"SIAPROXY","Was a Proxy respondent used in conducting the Sample Person (SP) interview?","DEMO_J","Demographic Variables and Sample Weights",2017,2018,"Demographics","None","DEMO_J"
"WTINT2YR","Full sample 2 year interview weight.","DEMO_J","Demographic Variables and Sample Weights",2017,2018,"Demographics","None","DEMO_J"
"WTMEC2YR","Full sample 2 year MEC exam weight.","DEMO_J","Demographic Variables and Sample Weights",2017,2018,"Demographics","None","DEMO_J"
